customer_key,customer_id,first_name,last_name,full_name,email,phone,country,city,location_key,kyc_status,preferred_channel,join_date,customer_segment,is_fraud_target
32,NAB-C000032,Kofi,Boateng,Kofi Boateng,kofi.boateng32@email.com,+2348594327693,Germany,Munich,41,Verified,Web Banking,2023-04-27,Corporate,1
33,NAB-C000033,Gbenga,Brown,Gbenga Brown,gbenga.brown33@email.com,+2347566901107,Kenya,Mombasa,26,Verified,Web Banking,2019-02-20,Corporate,1
34,NAB-C000034,Michael,Asante,Michael Asante,michael.asante34@email.com,+2348655965926,South Africa,Durban,22,Verified,Mobile Banking,2022-01-18,Corporate,1
35,NAB-C000035,Yusuf,Saleh,Yusuf Saleh,yusuf.saleh35@email.com,+2347161584944,Ghana,Sekondi-Takoradi,18,Verified,Branch,2023-04-17,SME,1
36,NAB-C000036,Olivia,Okafor,Olivia Okafor,olivia.okafor36@email.com,+2347273687169,United States,Phoenix,34,Verified,Mobile Banking,2021-07-05,Corporate,1
37,NAB-C000037,Ngozi,Zulu,Ngozi Zulu,ngozi.zulu37@email.com,+2348675286878,Nigeria,Port Harcourt,4,Verified,Web Banking,2021-12-08,Premium,1
38,NAB-C000038,Valentina,Obiora,Valentina Obiora,valentina.obiora38@email.com,+2348741119021,Germany,Munich,41,Pending,Mobile Banking,2019-06-08,Premium,1
39,NAB-C000039,Fatima,Ikenna,Fatima Ikenna,fatima.ikenna39@email.com,+2348722786833,Kenya,Kisumu,27,Verified,ATM,2021-08-11,SME,1
40,NAB-C000040,Femi,Nwachukwu,Femi Nwachukwu,femi.nwachukwu40@email.com,+2348843814971,United States,New York,30,Verified,Web Banking,2023-09-14,SME,1
41,NAB-C000041,Oliver,Mthembu,Oliver Mthembu,oliver.mthembu41@email.com,+2347414743067,Nigeria,Port Harcourt,4,Verified,Web Banking,2020-03-21,Corporate,1
42,NAB-C000042,Emmanuel,Lopez,Emmanuel Lopez,emmanuel.lopez42@email.com,+2348151514515,Nigeria,Enugu,7,Verified,Mobile Banking,2019-03-11,Retail,1
43,NAB-C000043,Joseph,Martinez,Joseph Martinez,joseph.martinez43@email.com,+2347933218566,Nigeria,Ibadan,5,Verified,Mobile Banking,2020-07-29,Corporate,1
44,NAB-C000044,Hadiza,Ambode,Hadiza Ambode,hadiza.ambode44@email.com,+2347936426394,Nigeria,Port Harcourt,4,Verified,Mobile Banking,2019-12-12,SME,1
45,NAB-C000045,Kayode,Hassan,Kayode Hassan,kayode.hassan45@email.com,+2348821098953,Nigeria,Kaduna,6,Verified,Mobile Banking,2020-03-14,Corporate,1
46,NAB-C000046,Jack,Dlamini,Jack Dlamini,jack.dlamini46@email.com,+2348190591741,South Africa,Durban,22,Verified,Mobile Banking,2022-04-06,Premium,1
47,NAB-C000047,Akosua,Jones,Akosua Jones,akosua.jones47@email.com,+2347872039786,South Africa,Cape Town,21,Verified,Web Banking,2022-03-26,Retail,1
48,NAB-C000048,Lanre,Hernandez,Lanre Hernandez,lanre.hernandez48@email.com,+2348450898447,Nigeria,Kaduna,6,Verified,Mobile Banking,2021-06-10,Premium,1
49,NAB-C000049,Lebo,Onuoha,Lebo Onuoha,lebo.onuoha49@email.com,+2348329852454,South Africa,Durban,22,Verified,Mobile Banking,2020-05-15,SME,1
50,NAB-C000050,Yaw,Dlamini,Yaw Dlamini,yaw.dlamini50@email.com,+2347525795353,Nigeria,Port Harcourt,4,Verified,Branch,2023-08-30,Retail,1
51,NAB-C000051,Oliver,Roberts,Oliver Roberts,oliver.roberts51@email.com,+2347824587483,Canada,Ottawa,39,Verified,Web Banking,2020-01-06,SME,1
52,NAB-C000052,Abdullahi,Okonkwo,Abdullahi Okonkwo,abdullahi.okonkwo52@email.com,+2347377713767,Canada,Toronto,35,Verified,ATM,2022-09-10,Premium,1
53,NAB-C000053,Michael,Taylor,Michael Taylor,michael.taylor53@email.com,+2347997813759,Germany,Berlin,40,Verified,ATM,2019-06-05,Corporate,1
54,NAB-C000054,Bongani,Saleh,Bongani Saleh,bongani.saleh54@email.com,+2347957592179,Ghana,Cape Coast,19,Verified,POS,2020-11-05,Premium,1
55,NAB-C000055,Safiya,Martinez,Safiya Martinez,safiya.martinez55@email.com,+2348040664172,Kenya,Kisumu,27,Verified,Web Banking,2020-12-30,Corporate,1
56,NAB-C000056,Garba,Osei,Garba Osei,garba.osei56@email.com,+2348917760526,Kenya,Mombasa,26,Verified,Web Banking,2022-02-16,SME,1
57,NAB-C000057,Mercy,Wilson,Mercy Wilson,mercy.wilson57@email.com,+2347890922026,United Kingdom,Manchester,10,Verified,Web Banking,2023-07-24,Premium,1
58,NAB-C000058,Ramatu,Adewale,Ramatu Adewale,ramatu.adewale58@email.com,+2348254300987,Nigeria,Enugu,7,Verified,Branch,2019-08-09,Retail,1
59,NAB-C000059,Lindiwe,Jones,Lindiwe Jones,lindiwe.jones59@email.com,+2348832765514,United Kingdom,Birmingham,11,Verified,POS,2021-09-25,Premium,1
60,NAB-C000060,William,Buhari,William Buhari,william.buhari60@email.com,+2347935950639,United States,Los Angeles,31,Verified,Web Banking,2022-05-23,Premium,1
61,NAB-C000061,Bukola,Davies,Bukola Davies,bukola.davies61@email.com,+2348147021774,Kenya,Nakuru,28,Pending,Mobile Banking,2020-06-06,Premium,1
62,NAB-C000062,Maria,Ibrahim,Maria Ibrahim,maria.ibrahim62@email.com,+2347390260112,Nigeria,Enugu,7,Verified,Mobile Banking,2021-05-01,Premium,1
63,NAB-C000063,Yetunde,Davis,Yetunde Davis,yetunde.davis63@email.com,+2347597551532,United Kingdom,Birmingham,11,Verified,ATM,2021-10-17,Premium,1
64,NAB-C000064,Seun,Mensah,Seun Mensah,seun.mensah64@email.com,+2347481513427,United Kingdom,Liverpool,14,Verified,Web Banking,2021-12-16,Retail,1
65,NAB-C000065,Bongani,Ibrahim,Bongani Ibrahim,bongani.ibrahim65@email.com,+2347327238597,France,Lyon,46,Pending,Mobile Banking,2020-06-08,Premium,1
66,NAB-C000066,Akosua,Owusu,Akosua Owusu,akosua.owusu66@email.com,+2348646901134,Ghana,Kumasi,16,Verified,Mobile Banking,2022-06-26,Retail,1
67,NAB-C000067,Yusuf,Dlamini,Yusuf Dlamini,yusuf.dlamini67@email.com,+2348454592222,Nigeria,Lagos,1,Expired,POS,2020-09-09,Premium,1
68,NAB-C000068,Hassan,Williams,Hassan Williams,hassan.williams68@email.com,+2347647643874,Nigeria,Port Harcourt,4,Verified,POS,2019-08-03,Retail,1
69,NAB-C000069,Edward,Musa,Edward Musa,edward.musa69@email.com,+2348086542523,Nigeria,Enugu,7,Verified,Web Banking,2023-07-14,Retail,1
70,NAB-C000070,Ramatu,Sani,Ramatu Sani,ramatu.sani70@email.com,+2347987282730,Nigeria,Kaduna,6,Verified,ATM,2019-04-10,Premium,1
71,NAB-C000071,Musa,Sanwo,Musa Sanwo,musa.sanwo71@email.com,+2348663529841,France,Marseille,47,Verified,Web Banking,2020-11-25,Premium,1
72,NAB-C000072,Zanele,Rodriguez,Zanele Rodriguez,zanele.rodriguez72@email.com,+2347598993846,Nigeria,Port Harcourt,4,Pending,POS,2023-06-08,SME,1
73,NAB-C000073,Bongani,Khalid,Bongani Khalid,bongani.khalid73@email.com,+2348827407302,Ghana,Sekondi-Takoradi,18,Verified,Mobile Banking,2021-02-23,Premium,1
74,NAB-C000074,Peace,Zulu,Peace Zulu,peace.zulu74@email.com,+2348505780637,United States,Chicago,32,Verified,POS,2020-07-30,Retail,1
75,NAB-C000075,Thomas,Johnson,Thomas Johnson,thomas.johnson75@email.com,+2347516091716,Nigeria,Enugu,7,Verified,ATM,2019-09-02,Premium,1
76,NAB-C000076,Safiya,Adeyemi,Safiya Adeyemi,safiya.adeyemi76@email.com,+2347657572445,Nigeria,Port Harcourt,4,Verified,ATM,2022-07-22,Corporate,1
77,NAB-C000077,Harry,Wike,Harry Wike,harry.wike77@email.com,+2347710368909,Ghana,Sekondi-Takoradi,18,Expired,Mobile Banking,2020-10-31,Premium,1
78,NAB-C000078,Femi,Dlamini,Femi Dlamini,femi.dlamini78@email.com,+2347256741854,Nigeria,Abuja,2,Verified,ATM,2022-02-24,SME,1
79,NAB-C000079,Ahmed,Davis,Ahmed Davis,ahmed.davis79@email.com,+2348126649097,Kenya,Kisumu,27,Verified,Web Banking,2019-08-29,Retail,1
80,NAB-C000080,Ahmed,Gonzalez,Ahmed Gonzalez,ahmed.gonzalez80@email.com,+2348147046376,Nigeria,Kano,3,Verified,Mobile Banking,2019-12-13,Retail,1
81,NAB-C000081,Michael,Wike,Michael Wike,michael.wike81@email.com,+2348054153976,Nigeria,Kano,3,Verified,Mobile Banking,2019-09-13,Retail,1
82,NAB-C000082,Isla,Hernandez,Isla Hernandez,isla.hernandez82@email.com,+2347542193200,United Kingdom,Leeds,12,Verified,Branch,2023-08-19,Premium,1
83,NAB-C000083,Joseph,Yakubu,Joseph Yakubu,joseph.yakubu83@email.com,+2347115124608,United Kingdom,London,9,Verified,Mobile Banking,2020-01-27,Corporate,1
84,NAB-C000084,Samuel,Taylor,Samuel Taylor,samuel.taylor84@email.com,+2348328043297,Nigeria,Enugu,7,Verified,Mobile Banking,2019-06-27,Premium,1
85,NAB-C000085,Safiya,Saleh,Safiya Saleh,safiya.saleh85@email.com,+2347129343592,Nigeria,Enugu,7,Verified,Web Banking,2020-06-09,Retail,1
86,NAB-C000086,Lindiwe,Brown,Lindiwe Brown,lindiwe.brown86@email.com,+2347515106548,Ghana,Tamale,17,Verified,Mobile Banking,2023-01-15,Retail,1
87,NAB-C000087,Yusuf,Okonkwo,Yusuf Okonkwo,yusuf.okonkwo87@email.com,+2347070093565,United Kingdom,Liverpool,14,Verified,Mobile Banking,2022-04-15,Corporate,1
88,NAB-C000088,Efua,Ali,Efua Ali,efua.ali88@email.com,+2348699191593,Nigeria,Port Harcourt,4,Expired,Web Banking,2019-07-03,SME,1
89,NAB-C000089,Bello,Owusu,Bello Owusu,bello.owusu89@email.com,+2347305450100,Ghana,Kumasi,16,Pending,Mobile Banking,2019-04-15,SME,1
90,NAB-C000090,Funke,Hernandez,Funke Hernandez,funke.hernandez90@email.com,+2347864380462,United Kingdom,Leeds,12,Verified,Branch,2019-12-30,Premium,1
91,NAB-C000091,Garba,Mensah,Garba Mensah,garba.mensah91@email.com,+2347537660983,Ghana,Sekondi-Takoradi,18,Verified,Mobile Banking,2020-07-14,SME,1
92,NAB-C000092,Yaw,Adeyemi,Yaw Adeyemi,yaw.adeyemi92@email.com,+2348624074950,UAE,Sharjah,52,Verified,Mobile Banking,2019-08-23,Premium,1
93,NAB-C000093,Toyin,Obi,Toyin Obi,toyin.obi93@email.com,+2349081030273,UAE,Ajman,53,Verified,Mobile Banking,2021-02-28,Corporate,1
94,NAB-C000094,Suleiman,Sithole,Suleiman Sithole,suleiman.sithole94@email.com,+2347884001103,Nigeria,Abuja,2,Pending,ATM,2022-01-26,Corporate,1
95,NAB-C000095,Kofi,Davies,Kofi Davies,kofi.davies95@email.com,+2347675420449,United States,Phoenix,34,Verified,Mobile Banking,2023-06-05,Retail,1
96,NAB-C000096,Mariam,Ambode,Mariam Ambode,mariam.ambode96@email.com,+2347992086654,United States,New York,30,Verified,Web Banking,2020-11-16,SME,1
97,NAB-C000097,Thomas,Nxumalo,Thomas Nxumalo,thomas.nxumalo97@email.com,+2347110835454,Ghana,Sekondi-Takoradi,18,Verified,Mobile Banking,2019-08-29,SME,1
98,NAB-C000098,Gbenga,Saleh,Gbenga Saleh,gbenga.saleh98@email.com,+2348307541947,Canada,Calgary,38,Verified,ATM,2020-05-21,SME,1
99,NAB-C000099,Funke,Wike,Funke Wike,funke.wike99@email.com,+2348960501991,Nigeria,Enugu,7,Verified,Mobile Banking,2019-03-15,Retail,1
100,NAB-C000100,Kwame,Obiora,Kwame Obiora,kwame.obiora100@email.com,+2347587175489,United Kingdom,Liverpool,14,Verified,Web Banking,2019-12-19,Premium,1
101,NAB-C000101,Harry,Taylor,Harry Taylor,harry.taylor101@email.com,+2348091439003,United Kingdom,Manchester,10,Verified,ATM,2020-07-23,SME,1
102,NAB-C000102,Emmanuel,Lopez,Emmanuel Lopez,emmanuel.lopez102@email.com,+2348090358361,Kenya,Nakuru,28,Verified,Mobile Banking,2019-07-03,Retail,1
103,NAB-C000103,Gbenga,Perez,Gbenga Perez,gbenga.perez103@email.com,+2348858132986,United States,Phoenix,34,Expired,Mobile Banking,2021-03-05,Premium,1
104,NAB-C000104,Adewale,Sithole,Adewale Sithole,adewale.sithole104@email.com,+2348867455403,Ghana,Cape Coast,19,Verified,Mobile Banking,2022-02-11,SME,1
105,NAB-C000105,Isla,Evans,Isla Evans,isla.evans105@email.com,+2348015708756,Nigeria,Enugu,7,Verified,ATM,2019-09-29,Premium,1
106,NAB-C000106,Joke,Obiora,Joke Obiora,joke.obiora106@email.com,+2347712953193,United Kingdom,London,9,Verified,POS,2020-08-11,Premium,1
107,NAB-C000107,Daniel,Tinubu,Daniel Tinubu,daniel.tinubu107@email.com,+2348870314308,Germany,Berlin,40,Verified,Web Banking,2021-08-15,SME,1
108,NAB-C000108,Zainab,Yusuf,Zainab Yusuf,zainab.yusuf108@email.com,+2347853588938,United States,Chicago,32,Verified,Web Banking,2020-01-14,Corporate,1
109,NAB-C000109,Yaw,Atiku,Yaw Atiku,yaw.atiku109@email.com,+2348047859234,United Kingdom,Birmingham,11,Verified,POS,2019-08-30,Retail,1
110,NAB-C000110,Valentina,Yakubu,Valentina Yakubu,valentina.yakubu110@email.com,+2347194088142,Nigeria,Ibadan,5,Expired,Web Banking,2019-09-25,Retail,1
111,NAB-C000111,Lindiwe,Agyei,Lindiwe Agyei,lindiwe.agyei111@email.com,+2347098764851,United Kingdom,Liverpool,14,Verified,Mobile Banking,2023-10-04,Retail,1
112,NAB-C000112,Sade,Zulu,Sade Zulu,sade.zulu112@email.com,+2348215321261,Nigeria,Kano,3,Verified,ATM,2021-08-11,SME,1
113,NAB-C000113,Faith,Ikenna,Faith Ikenna,faith.ikenna113@email.com,+2348068732278,Nigeria,Enugu,7,Verified,POS,2022-07-27,SME,1
114,NAB-C000114,Comfort,Khalid,Comfort Khalid,comfort.khalid114@email.com,+2348930391368,South Africa,Pretoria,23,Verified,ATM,2023-11-13,Corporate,1
115,NAB-C000115,Yaw,Buhari,Yaw Buhari,yaw.buhari115@email.com,+2347642428853,Nigeria,Benin City,8,Expired,Web Banking,2020-08-16,Premium,1
116,NAB-C000116,Kojo,Garcia,Kojo Garcia,kojo.garcia116@email.com,+2348832523945,United Kingdom,Birmingham,11,Verified,Web Banking,2021-10-06,SME,1
117,NAB-C000117,Babatunde,Zulu,Babatunde Zulu,babatunde.zulu117@email.com,+2348413537769,Ghana,Tamale,17,Verified,Web Banking,2019-04-08,Retail,1
118,NAB-C000118,Edward,Bello,Edward Bello,edward.bello118@email.com,+2348665891059,Germany,Frankfurt,43,Pending,ATM,2022-04-25,Corporate,1
119,NAB-C000119,Aliyu,Johnson,Aliyu Johnson,aliyu.johnson119@email.com,+2348388005896,Ghana,Kumasi,16,Verified,Mobile Banking,2020-05-26,Premium,1
120,NAB-C000120,David,Nxumalo,David Nxumalo,david.nxumalo120@email.com,+2348605202931,Kenya,Nairobi,25,Pending,Web Banking,2022-02-01,SME,1
121,NAB-C000121,Ibrahim,Buhari,Ibrahim Buhari,ibrahim.buhari121@email.com,+2348783426380,Canada,Montreal,37,Verified,Mobile Banking,2022-05-23,Premium,1
122,NAB-C000122,Sade,Ndlovu,Sade Ndlovu,sade.ndlovu122@email.com,+2348619527987,United States,Houston,33,Expired,Branch,2023-02-17,Premium,1
123,NAB-C000123,Amelia,Nxumalo,Amelia Nxumalo,amelia.nxumalo123@email.com,+2347265404788,Nigeria,Enugu,7,Verified,Web Banking,2020-11-29,Corporate,1
124,NAB-C000124,Carlos,Jones,Carlos Jones,carlos.jones124@email.com,+2348012488868,United States,Chicago,32,Verified,Mobile Banking,2022-08-11,Corporate,1
125,NAB-C000125,Miguel,Miller,Miguel Miller,miguel.miller125@email.com,+2348394231100,South Africa,Pretoria,23,Pending,Web Banking,2022-03-24,SME,1
126,NAB-C000126,Ngozi,Okafor,Ngozi Okafor,ngozi.okafor126@email.com,+2348905374861,Nigeria,Benin City,8,Verified,Web Banking,2022-08-09,Premium,1
127,NAB-C000127,Oliver,Smith,Oliver Smith,oliver.smith127@email.com,+2348560359799,South Africa,Port Elizabeth,24,Verified,Mobile Banking,2019-10-04,Premium,1
128,NAB-C000128,Ama,Agyei,Ama Agyei,ama.agyei128@email.com,+2347070257689,United States,Phoenix,34,Verified,ATM,2022-05-09,SME,1
129,NAB-C000129,Garba,Saleh,Garba Saleh,garba.saleh129@email.com,+2347788845815,France,Marseille,47,Verified,Web Banking,2020-01-28,Corporate,1
130,NAB-C000130,Aisha,Hughes,Aisha Hughes,aisha.hughes130@email.com,+2347976498124,Nigeria,Abuja,2,Expired,Mobile Banking,2019-04-20,SME,1
131,NAB-C000131,Kwame,Adeyemi,Kwame Adeyemi,kwame.adeyemi131@email.com,+2348690022604,Nigeria,Kaduna,6,Verified,Web Banking,2023-03-20,Retail,1
132,NAB-C000132,Lindiwe,Wike,Lindiwe Wike,lindiwe.wike132@email.com,+2347705576259,Nigeria,Port Harcourt,4,Pending,ATM,2022-08-12,Retail,1
133,NAB-C000133,Toyin,Chukwu,Toyin Chukwu,toyin.chukwu133@email.com,+2347236065031,UAE,Ras Al Khaimah,54,Verified,ATM,2022-12-10,Retail,1
134,NAB-C000134,Ibrahim,Abubakar,Ibrahim Abubakar,ibrahim.abubakar134@email.com,+2347374190871,Nigeria,Port Harcourt,4,Verified,Mobile Banking,2023-10-31,SME,1
135,NAB-C000135,Lebo,Roberts,Lebo Roberts,lebo.roberts135@email.com,+2348670778865,United Kingdom,Liverpool,14,Verified,Mobile Banking,2021-05-28,Retail,1
136,NAB-C000136,Safiya,Fashola,Safiya Fashola,safiya.fashola136@email.com,+2348414983579,Nigeria,Lagos,1,Verified,Web Banking,2019-01-22,Premium,1
137,NAB-C000137,Kwame,Ibrahim,Kwame Ibrahim,kwame.ibrahim137@email.com,+2348473383154,Nigeria,Benin City,8,Pending,Mobile Banking,2021-07-12,Premium,1
138,NAB-C000138,Zainab,Mensah,Zainab Mensah,zainab.mensah138@email.com,+2348340711612,Nigeria,Kano,3,Verified,Web Banking,2022-05-18,Corporate,1
139,NAB-C000139,Babatunde,Tinubu,Babatunde Tinubu,babatunde.tinubu139@email.com,+2347245702336,Nigeria,Enugu,7,Verified,POS,2019-12-26,SME,1
140,NAB-C000140,Hadiza,Omar,Hadiza Omar,hadiza.omar140@email.com,+2347856266548,Canada,Calgary,38,Verified,Web Banking,2021-05-18,Retail,1
141,NAB-C000141,Dele,Lewis,Dele Lewis,dele.lewis141@email.com,+2348474936930,Nigeria,Ibadan,5,Verified,POS,2023-01-24,Retail,1
142,NAB-C000142,Blessing,Mensah,Blessing Mensah,blessing.mensah142@email.com,+2348743261278,Nigeria,Abuja,2,Verified,Mobile Banking,2021-10-30,Retail,1
143,NAB-C000143,Maria,Sithole,Maria Sithole,maria.sithole143@email.com,+2349021060993,South Africa,Pretoria,23,Verified,ATM,2020-03-10,Retail,1
144,NAB-C000144,Gbenga,Dlamini,Gbenga Dlamini,gbenga.dlamini144@email.com,+2347481562176,Nigeria,Port Harcourt,4,Verified,POS,2021-03-20,Corporate,1
145,NAB-C000145,Amelia,Smith,Amelia Smith,amelia.smith145@email.com,+2347921511878,Nigeria,Ibadan,5,Verified,POS,2019-05-24,Retail,1
146,NAB-C000146,Sofia,Rodriguez,Sofia Rodriguez,sofia.rodriguez146@email.com,+2348978986755,Nigeria,Ibadan,5,Verified,Mobile Banking,2022-03-10,Retail,1
147,NAB-C000147,Patience,Chukwu,Patience Chukwu,patience.chukwu147@email.com,+2348359726530,Ghana,Sekondi-Takoradi,18,Verified,Branch,2019-10-07,Retail,1
148,NAB-C000148,Ntombi,Tinubu,Ntombi Tinubu,ntombi.tinubu148@email.com,+2347794682962,Nigeria,Enugu,7,Verified,Mobile Banking,2023-01-14,Corporate,1
149,NAB-C000149,Edward,Mensah,Edward Mensah,edward.mensah149@email.com,+2347106864129,Canada,Vancouver,36,Verified,ATM,2020-06-15,Corporate,1
150,NAB-C000150,Garba,Lewis,Garba Lewis,garba.lewis150@email.com,+2348621228051,United Kingdom,Leeds,12,Verified,Web Banking,2022-09-17,Corporate,1
151,NAB-C000151,Hadiza,Owusu,Hadiza Owusu,hadiza.owusu151@email.com,+2347097533044,Nigeria,Benin City,8,Verified,Mobile Banking,2022-03-11,Retail,1
152,NAB-C000152,James,Brown,James Brown,james.brown152@email.com,+2347548723966,Nigeria,Port Harcourt,4,Verified,Mobile Banking,2019-08-20,Retail,1
153,NAB-C000153,James,Oduya,James Oduya,james.oduya153@email.com,+2348511122543,Kenya,Mombasa,26,Verified,Mobile Banking,2020-12-07,Corporate,1
154,NAB-C000154,Zainab,Hughes,Zainab Hughes,zainab.hughes154@email.com,+2348978181270,Canada,Toronto,35,Verified,Mobile Banking,2021-05-05,Corporate,1
155,NAB-C000155,Isla,Lewis,Isla Lewis,isla.lewis155@email.com,+2347044789109,Ghana,Sekondi-Takoradi,18,Verified,Branch,2021-08-25,SME,1
156,NAB-C000156,Valentina,Ali,Valentina Ali,valentina.ali156@email.com,+2347227339356,United States,Chicago,32,Verified,Mobile Banking,2019-03-09,Premium,1
157,NAB-C000157,Isabella,Mensah,Isabella Mensah,isabella.mensah157@email.com,+2347715259422,United Kingdom,Birmingham,11,Verified,ATM,2022-09-05,Retail,1
158,NAB-C000158,Emma,Owusu,Emma Owusu,emma.owusu158@email.com,+2347753980932,Ghana,Kumasi,16,Pending,ATM,2021-12-17,SME,1
159,NAB-C000159,Tunde,Boateng,Tunde Boateng,tunde.boateng159@email.com,+2348632549909,Nigeria,Port Harcourt,4,Verified,ATM,2023-01-23,Retail,1
160,NAB-C000160,Musa,Oduya,Musa Oduya,musa.oduya160@email.com,+2348462722994,United Kingdom,Glasgow,13,Verified,POS,2021-05-27,Corporate,1
161,NAB-C000161,Jose,Nkosi,Jose Nkosi,jose.nkosi161@email.com,+2347650301929,Nigeria,Abuja,2,Verified,ATM,2020-05-18,Retail,1
162,NAB-C000162,Folake,Fashola,Folake Fashola,folake.fashola162@email.com,+2347791857962,Nigeria,Benin City,8,Verified,POS,2023-08-08,Retail,1
