account_key,account_id,customer_key,account_type,currency,credit_limit,current_balance,account_status,open_date,balance_tier
24,NAB-A00000024,16,Savings,NGN,4777.25,1754.72,Active,2020-11-14,Low
25,NAB-A00000025,17,Domiciliary,NGN,10280.24,4442.51,Active,2023-07-23,Low
26,NAB-A00000026,18,Savings,NGN,98224.26,78351.66,Active,2021-04-27,High
27,NAB-A00000027,19,Savings,NGN,9393.57,8298.21,Active,2019-11-27,Low
28,NAB-A00000028,20,Current,USD,5071.11,3148.82,Active,2022-11-22,Low
29,NAB-A00000029,21,Domiciliary,GBP,48292.51,3887.28,Active,2019-02-24,Low
30,NAB-A00000030,21,Savings,GBP,246420.34,147475.57,Active,2019-02-08,High
31,NAB-A00000031,22,Savings,USD,5314.87,1410.4,Active,2019-03-30,Low
32,NAB-A00000032,23,Savings,USD,96453.91,31741.64,Dormant,2023-12-02,Mid
33,NAB-A00000033,23,Savings,USD,9005.21,4536.8,Active,2023-12-14,Low
34,NAB-A00000034,24,Fixed Deposit,ZAR,24745.23,4400.19,Active,2021-03-19,Low
35,NAB-A00000035,24,Savings,ZAR,26903.58,6993.36,Active,2021-03-14,Low
36,NAB-A00000036,25,Savings,NGN,22778.25,1747.9,Suspended,2020-09-16,Low
37,NAB-A00000037,26,Savings,NGN,24824.34,7136.98,Dormant,2023-08-05,Low
38,NAB-A00000038,27,Current,GHS,4863.97,3111.52,Suspended,2021-08-11,Low
39,NAB-A00000039,27,Current,GHS,27201.15,10238.97,Active,2021-08-16,Mid
40,NAB-A00000040,27,Current,GHS,4518.89,2987.02,Active,2021-07-29,Low
41,NAB-A00000041,28,Savings,ZAR,4663.63,525.05,Active,2021-09-19,Low
42,NAB-A00000042,28,Domiciliary,ZAR,9854.55,3003.84,Closed,2021-09-20,Low
43,NAB-A00000043,29,Savings,USD,22711.21,8139.23,Active,2020-06-14,Low
44,NAB-A00000044,30,Savings,GBP,10015.24,6000.84,Active,2023-08-07,Low
45,NAB-A00000045,31,Savings,USD,101089.57,79088.17,Active,2019-06-23,High
46,NAB-A00000046,32,Current,USD,26173.1,15082.24,Active,2023-04-29,Mid
47,NAB-A00000047,33,Fixed Deposit,USD,24977.81,9030.76,Active,2019-03-06,Low
48,NAB-A00000048,33,Premium,USD,27379.1,10898.12,Suspended,2019-03-21,Mid
49,NAB-A00000049,34,Premium,ZAR,9257.41,2193.67,Active,2022-01-18,Low
50,NAB-A00000050,35,Savings,GHS,109146.86,83553.37,Dormant,2023-04-26,High
51,NAB-A00000051,36,Savings,USD,9683.32,5057.91,Active,2021-08-01,Low
52,NAB-A00000052,36,Current,USD,4765.65,3390.57,Active,2021-07-15,Low
53,NAB-A00000053,37,Current,NGN,10023.75,9073.79,Active,2021-12-28,Low
54,NAB-A00000054,38,Current,USD,5043.94,1833.51,Active,2019-06-17,Low
55,NAB-A00000055,39,Domiciliary,USD,23819.95,12143.8,Active,2021-08-27,Mid
56,NAB-A00000056,40,Current,USD,53224.61,46268.27,Active,2023-09-14,Mid
57,NAB-A00000057,40,Current,USD,54396.18,51664.29,Active,2023-09-21,High
58,NAB-A00000058,41,Current,NGN,9751.64,7180.73,Active,2020-04-20,Low
59,NAB-A00000059,41,Savings,NGN,5257.29,1455.77,Active,2020-04-05,Low
60,NAB-A00000060,42,Current,NGN,10952.25,3422.77,Dormant,2019-04-06,Low
61,NAB-A00000061,43,Current,NGN,102638.42,68121.45,Active,2020-08-04,High
62,NAB-A00000062,43,Current,NGN,270747.01,103003.34,Dormant,2020-08-27,High
63,NAB-A00000063,44,Current,NGN,91590.7,86870.93,Active,2019-12-24,High
64,NAB-A00000064,45,Fixed Deposit,NGN,54595.15,34762.46,Closed,2020-04-08,Mid
65,NAB-A00000065,46,Current,ZAR,48100.32,17471.18,Active,2022-04-10,Mid
66,NAB-A00000066,47,Savings,ZAR,9215.1,4992.17,Active,2022-04-12,Low
67,NAB-A00000067,48,Savings,NGN,25365.43,3500.14,Active,2021-07-02,Low
68,NAB-A00000068,49,Current,ZAR,48998.0,28970.02,Active,2020-05-23,Mid
69,NAB-A00000069,50,Premium,NGN,48841.72,34672.45,Active,2023-09-01,Mid
70,NAB-A00000070,51,Premium,USD,26314.66,24166.37,Active,2020-01-30,Mid
71,NAB-A00000071,51,Savings,USD,9822.75,8268.17,Dormant,2020-01-19,Low
72,NAB-A00000072,52,Current,USD,90637.55,81120.93,Dormant,2022-09-20,High
73,NAB-A00000073,52,Fixed Deposit,USD,24964.56,17800.25,Dormant,2022-09-20,Mid
74,NAB-A00000074,53,Current,USD,9920.46,2401.72,Active,2019-07-01,Low
75,NAB-A00000075,54,Savings,GHS,5138.38,3572.37,Active,2020-11-13,Low
76,NAB-A00000076,55,Savings,USD,10222.53,9312.37,Dormant,2021-01-26,Low
77,NAB-A00000077,56,Current,USD,5178.38,568.03,Active,2022-03-07,Low
78,NAB-A00000078,56,Savings,USD,5241.95,4704.88,Dormant,2022-03-13,Low
79,NAB-A00000079,57,Current,GBP,25055.23,21906.85,Active,2023-08-08,Mid
80,NAB-A00000080,57,Savings,GBP,10949.12,2492.0,Active,2023-08-15,Low
81,NAB-A00000081,58,Current,NGN,232616.92,114368.97,Active,2019-09-08,High
82,NAB-A00000082,59,Current,GBP,54230.26,49569.4,Active,2021-10-18,Mid
83,NAB-A00000083,60,Current,USD,9781.1,7043.13,Active,2022-06-18,Low
84,NAB-A00000084,61,Premium,USD,9141.02,2665.21,Closed,2020-07-05,Low
85,NAB-A00000085,61,Current,USD,48838.35,7553.88,Active,2020-06-16,Low
86,NAB-A00000086,61,Savings,USD,5294.09,942.85,Dormant,2020-06-29,Low
87,NAB-A00000087,62,Savings,NGN,45934.26,33183.76,Active,2021-05-03,Mid
88,NAB-A00000088,63,Current,GBP,10540.17,7281.2,Active,2021-10-25,Low
89,NAB-A00000089,64,Current,GBP,51681.5,43837.16,Active,2021-12-23,Mid
90,NAB-A00000090,65,Fixed Deposit,USD,24822.8,15408.79,Active,2020-06-14,Mid
91,NAB-A00000091,66,Domiciliary,GHS,100181.44,33414.56,Active,2022-07-25,Mid
92,NAB-A00000092,67,Savings,NGN,24311.99,6708.58,Active,2020-09-28,Low
93,NAB-A00000093,68,Premium,NGN,24667.4,8245.06,Active,2019-08-27,Low
94,NAB-A00000094,69,Current,NGN,9685.04,6110.21,Active,2023-08-07,Low
95,NAB-A00000095,70,Savings,NGN,5361.78,4108.47,Dormant,2019-05-03,Low
96,NAB-A00000096,71,Savings,USD,4895.26,1579.86,Active,2020-11-26,Low
97,NAB-A00000097,72,Savings,NGN,10141.12,1055.99,Active,2023-07-08,Low
98,NAB-A00000098,73,Savings,GHS,9713.07,5569.49,Suspended,2021-03-13,Low
99,NAB-A00000099,74,Current,USD,24640.01,21764.27,Active,2020-08-21,Mid
100,NAB-A00000100,75,Fixed Deposit,NGN,24666.09,19118.63,Active,2019-09-02,Mid
101,NAB-A00000101,76,Current,NGN,9054.73,1432.32,Active,2022-07-23,Low
102,NAB-A00000102,77,Current,GHS,46521.9,43850.03,Active,2020-11-20,Mid
103,NAB-A00000103,77,Savings,GHS,4905.5,1359.72,Active,2020-11-07,Low
104,NAB-A00000104,77,Fixed Deposit,GHS,54525.35,38214.05,Active,2020-11-29,Mid
105,NAB-A00000105,78,Savings,NGN,9829.11,6177.47,Active,2022-03-16,Low
106,NAB-A00000106,79,Premium,USD,9095.97,839.56,Active,2019-09-24,Low
107,NAB-A00000107,80,Premium,NGN,109432.96,92073.62,Active,2019-12-28,High
108,NAB-A00000108,80,Savings,NGN,107607.93,97591.93,Closed,2019-12-17,High
109,NAB-A00000109,81,Current,NGN,9411.74,1258.43,Active,2019-09-16,Low
110,NAB-A00000110,81,Fixed Deposit,NGN,51886.58,47170.08,Dormant,2019-09-24,Mid
111,NAB-A00000111,82,Current,GBP,4562.58,3182.25,Dormant,2023-09-14,Low
112,NAB-A00000112,82,Savings,GBP,26508.6,23179.97,Active,2023-09-04,Mid
113,NAB-A00000113,83,Current,GBP,5130.57,2239.0,Active,2020-02-03,Low
114,NAB-A00000114,84,Savings,NGN,9925.85,5633.54,Active,2019-07-12,Low
115,NAB-A00000115,85,Premium,NGN,105231.42,6167.81,Dormant,2020-06-10,Low
116,NAB-A00000116,85,Savings,NGN,10569.07,8032.02,Active,2020-07-03,Low
117,NAB-A00000117,86,Savings,GHS,9678.41,5638.12,Active,2023-02-09,Low
118,NAB-A00000118,87,Premium,GBP,108670.85,102666.0,Active,2022-05-13,High
119,NAB-A00000119,87,Premium,GBP,9410.51,1167.48,Active,2022-04-19,Low
120,NAB-A00000120,88,Savings,NGN,5296.14,2678.08,Closed,2019-07-17,Low
121,NAB-A00000121,89,Premium,GHS,5367.56,1597.14,Closed,2019-04-15,Low
122,NAB-A00000122,90,Savings,GBP,4870.2,2027.01,Active,2020-01-21,Low
123,NAB-A00000123,90,Premium,GBP,231440.65,92329.48,Dormant,2020-01-04,High
124,NAB-A00000124,90,Savings,GBP,4593.92,4356.36,Active,2020-01-08,Low
125,NAB-A00000125,91,Fixed Deposit,GHS,49371.4,3851.95,Active,2020-08-05,Low
126,NAB-A00000126,92,Savings,USD,9162.13,605.17,Active,2019-08-26,Low
127,NAB-A00000127,93,Current,USD,5089.88,1133.38,Suspended,2021-03-11,Low
128,NAB-A00000128,93,Savings,USD,9995.74,8476.43,Active,2021-03-09,Low
129,NAB-A00000129,94,Domiciliary,NGN,9283.01,3231.85,Dormant,2022-02-14,Low
130,NAB-A00000130,94,Current,NGN,9225.62,2259.43,Active,2022-02-13,Low
131,NAB-A00000131,95,Savings,USD,5018.8,3155.73,Active,2023-06-12,Low
132,NAB-A00000132,96,Domiciliary,USD,9185.35,2140.99,Active,2020-12-02,Low
133,NAB-A00000133,96,Savings,USD,10611.58,787.33,Active,2020-12-15,Low
134,NAB-A00000134,97,Savings,GHS,4794.96,726.47,Active,2019-09-04,Low
135,NAB-A00000135,98,Savings,USD,10593.09,2037.38,Active,2020-06-10,Low
136,NAB-A00000136,98,Current,USD,5174.47,317.39,Dormant,2020-06-05,Low
137,NAB-A00000137,99,Current,NGN,9841.41,7142.62,Active,2019-04-07,Low
138,NAB-A00000138,100,Savings,GBP,10551.51,3503.72,Active,2019-12-28,Low
139,NAB-A00000139,101,Savings,GBP,47302.4,11501.7,Active,2020-07-29,Mid
140,NAB-A00000140,102,Premium,USD,24226.42,11045.21,Active,2019-07-11,Mid
141,NAB-A00000141,103,Current,USD,233171.29,45026.88,Active,2021-04-03,Mid
142,NAB-A00000142,104,Savings,GHS,107933.48,45839.91,Suspended,2022-02-16,Mid
143,NAB-A00000143,104,Savings,GHS,26382.6,24855.76,Active,2022-03-05,Mid
144,NAB-A00000144,104,Savings,GHS,52444.66,5034.46,Active,2022-03-02,Low
145,NAB-A00000145,105,Premium,NGN,10015.17,7571.86,Active,2019-10-18,Low
146,NAB-A00000146,106,Current,GBP,4705.32,3884.75,Active,2020-08-19,Low
147,NAB-A00000147,106,Savings,GBP,10620.69,4626.54,Dormant,2020-08-18,Low
148,NAB-A00000148,106,Savings,GBP,4897.69,272.59,Dormant,2020-09-03,Low
149,NAB-A00000149,107,Current,USD,5407.86,1703.88,Active,2021-08-24,Low
150,NAB-A00000150,108,Premium,USD,10594.64,9956.57,Active,2020-01-24,Low
151,NAB-A00000151,109,Savings,GBP,5261.35,1411.49,Active,2019-09-09,Low
152,NAB-A00000152,110,Savings,NGN,269550.47,31775.46,Active,2019-10-16,Mid
153,NAB-A00000153,110,Savings,NGN,45990.59,35666.45,Active,2019-10-24,Mid
154,NAB-A00000154,111,Current,GBP,22980.42,11137.11,Active,2023-10-27,Mid
155,NAB-A00000155,112,Current,NGN,10154.89,3830.02,Active,2021-08-17,Low
156,NAB-A00000156,113,Savings,NGN,23952.27,21557.69,Active,2022-08-19,Mid
157,NAB-A00000157,113,Savings,NGN,25948.47,15062.15,Active,2022-07-31,Mid
158,NAB-A00000158,114,Domiciliary,ZAR,54667.85,4727.62,Active,2023-11-27,Low
159,NAB-A00000159,115,Domiciliary,NGN,10102.88,1753.58,Active,2020-09-02,Low
160,NAB-A00000160,116,Premium,GBP,24947.71,3402.59,Closed,2021-10-27,Low
161,NAB-A00000161,116,Current,GBP,51338.85,34248.05,Active,2021-10-07,Mid
162,NAB-A00000162,117,Premium,GHS,53288.17,22176.8,Active,2019-04-28,Mid
163,NAB-A00000163,118,Current,USD,5299.85,4251.03,Active,2022-04-26,Low
164,NAB-A00000164,119,Premium,GHS,4907.8,2020.3,Active,2020-05-26,Low
165,NAB-A00000165,120,Savings,USD,237019.88,178291.35,Active,2022-02-19,High
166,NAB-A00000166,121,Fixed Deposit,USD,5357.25,3649.94,Suspended,2022-06-14,Low
167,NAB-A00000167,121,Current,USD,5250.94,3509.95,Active,2022-05-28,Low
168,NAB-A00000168,122,Domiciliary,USD,26666.53,19716.15,Active,2023-02-18,Mid
169,NAB-A00000169,122,Savings,USD,23305.92,16758.4,Active,2023-02-27,Mid
170,NAB-A00000170,123,Fixed Deposit,NGN,9349.21,8520.43,Active,2020-12-19,Low
171,NAB-A00000171,124,Savings,USD,4915.4,719.46,Active,2022-08-18,Low
172,NAB-A00000172,125,Savings,ZAR,9851.23,854.01,Active,2022-04-13,Low
173,NAB-A00000173,125,Current,ZAR,108356.73,29255.11,Active,2022-03-24,Mid
174,NAB-A00000174,126,Premium,NGN,103148.43,91897.45,Active,2022-08-11,High
175,NAB-A00000175,127,Savings,ZAR,26231.91,19202.55,Active,2019-10-29,Mid
176,NAB-A00000176,128,Savings,USD,45601.81,3582.62,Active,2022-06-03,Low
177,NAB-A00000177,129,Premium,USD,4848.02,465.92,Dormant,2020-02-15,Low
178,NAB-A00000178,130,Current,NGN,23083.74,11634.3,Active,2019-05-06,Mid
179,NAB-A00000179,131,Savings,NGN,26685.49,21802.12,Active,2023-04-17,Mid
180,NAB-A00000180,132,Savings,NGN,4661.6,3815.03,Dormant,2022-08-13,Low
181,NAB-A00000181,132,Savings,NGN,5003.66,3750.88,Active,2022-09-10,Low
182,NAB-A00000182,133,Savings,USD,9083.09,5082.02,Active,2022-12-28,Low
183,NAB-A00000183,133,Current,USD,10178.78,3112.92,Active,2023-01-09,Low
184,NAB-A00000184,133,Premium,USD,255015.89,19983.95,Active,2022-12-21,Mid
185,NAB-A00000185,134,Savings,NGN,10586.94,1681.22,Active,2023-11-15,Low
186,NAB-A00000186,135,Savings,GBP,9454.75,8720.9,Active,2021-06-14,Low
187,NAB-A00000187,136,Current,NGN,49675.7,41643.26,Active,2019-02-21,Mid
188,NAB-A00000188,137,Premium,NGN,10961.1,7880.64,Active,2021-07-23,Low
189,NAB-A00000189,138,Savings,NGN,26105.35,12499.93,Active,2022-05-18,Mid
190,NAB-A00000190,139,Current,NGN,4984.03,1116.03,Active,2020-01-18,Low
191,NAB-A00000191,139,Premium,NGN,10682.42,8644.19,Suspended,2020-01-15,Low
192,NAB-A00000192,140,Current,USD,10105.26,1417.98,Active,2021-05-29,Low
193,NAB-A00000193,140,Current,USD,9046.79,7321.22,Active,2021-05-29,Low
194,NAB-A00000194,141,Current,NGN,5410.84,617.84,Active,2023-02-20,Low
195,NAB-A00000195,141,Savings,NGN,95701.2,71805.45,Active,2023-01-25,High
196,NAB-A00000196,141,Current,NGN,104677.22,27281.17,Active,2023-02-05,Mid
197,NAB-A00000197,142,Savings,NGN,27293.23,14539.82,Active,2021-10-30,Mid
198,NAB-A00000198,142,Premium,NGN,25306.48,21534.86,Dormant,2021-11-28,Mid
199,NAB-A00000199,143,Savings,ZAR,9490.75,6574.42,Active,2020-03-20,Low
200,NAB-A00000200,144,Savings,NGN,9517.04,8411.17,Active,2021-03-27,Low
201,NAB-A00000201,144,Savings,NGN,10204.34,4182.73,Active,2021-03-25,Low
202,NAB-A00000202,145,Domiciliary,NGN,5464.5,2841.95,Dormant,2019-06-15,Low
203,NAB-A00000203,146,Premium,NGN,5414.12,4526.57,Active,2022-03-30,Low
204,NAB-A00000204,147,Premium,GHS,101476.58,82181.44,Active,2019-10-26,High
205,NAB-A00000205,148,Premium,NGN,9380.43,4972.12,Suspended,2023-02-02,Low
206,NAB-A00000206,149,Savings,USD,45233.27,5554.82,Active,2020-06-18,Low
207,NAB-A00000207,150,Premium,GBP,51256.25,25699.96,Active,2022-09-19,Mid
208,NAB-A00000208,150,Current,GBP,26426.97,17160.21,Active,2022-10-03,Mid
209,NAB-A00000209,151,Current,NGN,5074.26,4467.29,Suspended,2022-03-25,Low
210,NAB-A00000210,152,Savings,NGN,10631.31,1027.28,Active,2019-09-09,Low
211,NAB-A00000211,153,Savings,USD,10171.28,7561.46,Active,2020-12-20,Low
212,NAB-A00000212,154,Savings,USD,107309.28,45568.81,Active,2021-05-23,Mid
213,NAB-A00000213,154,Domiciliary,USD,4863.37,1861.06,Dormant,2021-05-10,Low
214,NAB-A00000214,155,Fixed Deposit,GHS,9920.13,5484.13,Active,2021-08-25,Low
215,NAB-A00000215,156,Domiciliary,USD,23366.79,6809.37,Active,2019-03-12,Low
216,NAB-A00000216,157,Premium,GBP,10997.51,2438.77,Active,2022-09-20,Low
217,NAB-A00000217,157,Current,GBP,5068.22,321.33,Active,2022-10-03,Low
218,NAB-A00000218,158,Fixed Deposit,GHS,5090.93,1765.23,Dormant,2022-01-13,Low
219,NAB-A00000219,158,Premium,GHS,9039.12,4749.25,Active,2022-01-09,Low
220,NAB-A00000220,159,Savings,NGN,4949.8,4323.25,Active,2023-02-16,Low
221,NAB-A00000221,160,Domiciliary,GBP,4844.51,1891.8,Active,2021-05-28,Low
222,NAB-A00000222,160,Current,GBP,10473.46,9078.6,Active,2021-05-27,Low
223,NAB-A00000223,161,Savings,NGN,9872.38,1779.61,Active,2020-05-19,Low
224,NAB-A00000224,162,Fixed Deposit,NGN,46075.33,15519.9,Active,2023-08-12,Mid
225,NAB-A00000225,163,Savings,GHS,25897.94,11213.45,Active,2020-09-15,Mid
226,NAB-A00000226,163,Fixed Deposit,GHS,10358.59,1487.3,Active,2020-09-24,Low
227,NAB-A00000227,164,Fixed Deposit,NGN,9734.77,7557.01,Dormant,2023-08-11,Low
228,NAB-A00000228,164,Current,NGN,10876.34,5582.09,Active,2023-08-23,Low
229,NAB-A00000229,165,Savings,GBP,26758.01,17204.85,Active,2019-12-17,Mid
230,NAB-A00000230,165,Savings,GBP,5424.18,3360.47,Active,2019-12-16,Low
231,NAB-A00000231,166,Savings,USD,5345.75,608.56,Active,2022-01-28,Low
232,NAB-A00000232,167,Current,NGN,10438.39,5068.4,Active,2019-11-24,Low
233,NAB-A00000233,167,Premium,NGN,5282.57,4477.95,Active,2019-12-07,Low
234,NAB-A00000234,168,Savings,GHS,4567.7,3116.26,Active,2022-03-09,Low
235,NAB-A00000235,169,Current,NGN,96884.01,28005.01,Active,2022-02-04,Mid
236,NAB-A00000236,170,Current,GBP,10671.99,9103.39,Suspended,2022-12-06,Low
237,NAB-A00000237,170,Fixed Deposit,GBP,238485.87,153897.61,Active,2022-12-07,High
238,NAB-A00000238,171,Domiciliary,USD,10375.59,8463.92,Active,2019-03-27,Low
239,NAB-A00000239,172,Current,USD,9977.02,7945.37,Active,2021-11-03,Low
240,NAB-A00000240,173,Current,NGN,4694.67,3363.7,Active,2022-08-05,Low
241,NAB-A00000241,174,Savings,NGN,4967.69,3514.61,Active,2019-06-07,Low
242,NAB-A00000242,174,Savings,NGN,94666.7,5018.02,Active,2019-05-24,Low
243,NAB-A00000243,175,Current,GBP,5109.21,3235.93,Active,2021-02-10,Low
244,NAB-A00000244,176,Current,USD,263973.72,65250.92,Active,2019-02-02,High
245,NAB-A00000245,176,Current,USD,22718.15,5671.5,Active,2019-01-07,Low
246,NAB-A00000246,177,Current,USD,9394.63,8233.05,Active,2023-02-06,Low
247,NAB-A00000247,178,Current,USD,4890.52,836.32,Active,2022-01-13,Low
248,NAB-A00000248,179,Current,NGN,9846.32,8167.93,Active,2021-11-08,Low
249,NAB-A00000249,179,Current,NGN,9065.01,1951.32,Dormant,2021-11-17,Low
250,NAB-A00000250,180,Current,USD,4942.53,2840.92,Active,2019-04-22,Low
251,NAB-A00000251,181,Current,GBP,232979.3,28150.35,Active,2023-10-30,Mid
252,NAB-A00000252,182,Domiciliary,GBP,10783.46,1264.85,Active,2023-04-08,Low
253,NAB-A00000253,183,Fixed Deposit,USD,23106.04,6313.31,Closed,2023-11-28,Low
254,NAB-A00000254,183,Current,USD,23737.77,22168.62,Dormant,2023-11-15,Mid
255,NAB-A00000255,184,Domiciliary,NGN,93376.41,71842.46,Active,2022-08-02,High
256,NAB-A00000256,184,Current,NGN,23393.54,1514.02,Suspended,2022-08-22,Low
257,NAB-A00000257,185,Current,NGN,4865.95,3805.92,Active,2021-05-06,Low
258,NAB-A00000258,185,Current,NGN,10715.82,3307.3,Active,2021-05-03,Low
259,NAB-A00000259,186,Current,NGN,9962.59,3155.53,Active,2019-10-29,Low
260,NAB-A00000260,187,Current,NGN,253614.49,88051.47,Active,2023-01-05,High
261,NAB-A00000261,188,Premium,ZAR,9951.24,9375.41,Active,2019-08-17,Low
262,NAB-A00000262,189,Premium,USD,5043.46,2422.58,Active,2022-03-10,Low
263,NAB-A00000263,190,Current,USD,266658.75,78536.01,Active,2019-02-06,High
264,NAB-A00000264,191,Current,USD,5331.38,1572.12,Dormant,2019-10-03,Low
265,NAB-A00000265,192,Current,GBP,24357.42,8281.24,Active,2019-07-07,Low
266,NAB-A00000266,193,Current,NGN,4549.65,2033.21,Active,2022-03-15,Low
267,NAB-A00000267,193,Current,NGN,9761.28,5413.55,Active,2022-02-21,Low
268,NAB-A00000268,193,Current,NGN,25692.8,10343.32,Suspended,2022-02-28,Mid
269,NAB-A00000269,194,Premium,GHS,25182.02,14348.23,Active,2021-06-23,Mid
270,NAB-A00000270,195,Current,NGN,5002.1,1603.48,Active,2020-05-09,Low
271,NAB-A00000271,195,Current,NGN,25063.67,7471.32,Active,2020-06-01,Low
272,NAB-A00000272,195,Premium,NGN,45667.4,24025.27,Dormant,2020-05-06,Mid
273,NAB-A00000273,196,Current,USD,4517.99,661.28,Active,2023-07-31,Low
274,NAB-A00000274,196,Current,USD,9477.07,1095.97,Active,2023-08-11,Low
275,NAB-A00000275,197,Domiciliary,USD,98784.58,11206.68,Active,2020-02-22,Mid
276,NAB-A00000276,198,Savings,GHS,9613.43,3454.19,Active,2022-03-11,Low
277,NAB-A00000277,199,Savings,GBP,226014.13,34060.21,Closed,2023-04-16,Mid
278,NAB-A00000278,200,Savings,ZAR,228608.51,86754.74,Active,2023-02-28,High
279,NAB-A00000279,200,Current,ZAR,10096.39,3126.53,Suspended,2023-03-04,Low
280,NAB-A00000280,201,Savings,USD,52324.25,13905.62,Dormant,2020-01-09,Mid
281,NAB-A00000281,201,Current,USD,103237.62,27342.43,Active,2019-12-28,Mid
282,NAB-A00000282,201,Savings,USD,4740.8,3104.72,Dormant,2020-01-02,Low
283,NAB-A00000283,202,Premium,USD,10305.44,935.24,Active,2021-02-19,Low
284,NAB-A00000284,202,Savings,USD,4664.53,4020.2,Active,2021-02-14,Low
285,NAB-A00000285,203,Savings,USD,9082.95,6395.3,Active,2020-10-13,Low
286,NAB-A00000286,204,Premium,NGN,23867.19,4319.19,Active,2019-12-17,Low
287,NAB-A00000287,205,Savings,NGN,10864.43,2002.44,Active,2021-06-21,Low
288,NAB-A00000288,205,Savings,NGN,9472.11,5867.79,Active,2021-05-26,Low
289,NAB-A00000289,206,Current,ZAR,4649.95,2096.9,Active,2023-03-25,Low
290,NAB-A00000290,206,Current,ZAR,108656.23,57034.01,Active,2023-03-22,High
291,NAB-A00000291,207,Savings,NGN,9050.66,7072.82,Active,2019-12-27,Low
292,NAB-A00000292,207,Current,NGN,25077.72,3136.39,Active,2020-01-03,Low
293,NAB-A00000293,208,Savings,NGN,26816.53,4774.41,Active,2022-03-25,Low
294,NAB-A00000294,208,Savings,NGN,9452.84,7368.5,Active,2022-04-06,Low
295,NAB-A00000295,208,Savings,NGN,23639.26,1844.67,Active,2022-04-10,Low
296,NAB-A00000296,209,Savings,NGN,10635.29,8393.12,Active,2020-10-23,Low
297,NAB-A00000297,210,Current,USD,10660.8,3177.24,Active,2022-10-08,Low
298,NAB-A00000298,211,Current,NGN,10466.35,1850.47,Dormant,2019-06-17,Low
299,NAB-A00000299,211,Current,NGN,4646.83,2583.35,Active,2019-06-03,Low
300,NAB-A00000300,212,Domiciliary,ZAR,9405.61,6170.79,Closed,2021-03-27,Low
301,NAB-A00000301,213,Current,USD,47188.85,25351.56,Active,2023-03-12,Mid
302,NAB-A00000302,214,Premium,GBP,5364.99,4974.49,Active,2023-02-27,Low
303,NAB-A00000303,215,Premium,NGN,10876.05,7343.74,Active,2020-09-24,Low
304,NAB-A00000304,216,Domiciliary,GBP,4977.69,3927.3,Active,2023-06-16,Low
305,NAB-A00000305,216,Current,GBP,5039.91,4371.82,Dormant,2023-06-26,Low
306,NAB-A00000306,217,Savings,GHS,51534.0,19826.79,Active,2021-02-22,Mid
307,NAB-A00000307,218,Current,NGN,5274.72,3620.03,Active,2022-06-16,Low
308,NAB-A00000308,219,Domiciliary,GBP,10643.57,1862.45,Active,2021-12-19,Low
309,NAB-A00000309,220,Savings,USD,5442.64,1391.47,Active,2020-06-30,Low
310,NAB-A00000310,220,Savings,USD,4930.1,4549.93,Active,2020-07-04,Low
311,NAB-A00000311,221,Current,NGN,101125.7,72913.33,Active,2021-11-27,High
312,NAB-A00000312,222,Current,NGN,27358.31,21230.29,Suspended,2019-06-17,Mid
313,NAB-A00000313,223,Savings,NGN,25552.88,20940.33,Suspended,2020-06-28,Mid
